Title,Genres,AverageRating
Young Frankenstein (1974),Comedy|Horror,4.250628667225482
Psycho (1960),Horror|Thriller,4.218527315914489
Alien (1979),Action|Horror|Sci-Fi|Thriller,4.159584980237154
"Shining, The (1980)",Horror,4.104875804967802
Jaws (1975),Action|Horror,4.089569829110195
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,3.991596638655462
Frankenstein (1931),Horror,3.9753694581280787
"Exorcist, The (1973)",Horror,3.9559322033898305
Invasion of the Body Snatchers (1956),Horror|Sci-Fi,3.912420382165605
Bride of Frankenstein (1935),Horror,3.912037037037037
Ghostbusters (1984),Comedy|Horror,3.9055479138010085
"Birds, The (1963)",Horror,3.882673942701228
Peeping Tom (1960),Drama|Horror|Thriller,3.8588235294117648
Dracula (1931),Horror,3.827731092436975
Evil Dead II (Dead By Dawn) (1987),Action|Adventure|Comedy|Horror,3.826642335766423
Misery (1990),Horror,3.82579185520362
Rosemary's Baby (1968),Horror|Thriller,3.818820224719101
Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi,3.804232804232804
"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,3.785425101214575
"Wolf Man, The (1941)",Horror,3.7611940298507465
